SourceFileId,TripEndTime,VehicleId,TripDistance,DriveFuel,DriveFuelEconomy,DistanceAvgLoadFactor,Drivetime,StopIdleTime,StopIdleFuel,StopIdlePercent,BrakeCount,HardBrakeCount,EngineBraketime,CruiseTime,OverSpeedAtime,OverSpeedBtime,EngineFantime,TopGearDistance,TopGearMinusOneDistance,DistanceAvgvehiclespeed
28522,11/28/2016,267,1380.4,1853.75,0.74,0.44,841608,223128,30.25,0.2,4370,2,840456,193896,309096,7740,311724,11816.7,639.4,5.9
28511,11/17/2016,273,2016,1173.5,1.72,0.45,525816,51552,4.25,0.08,3392,2,291924,249084,201384,1656,539352,7621.4,370.3,13.8
28424,8/19/2016,281,161448.1,28200.13,5.73,0.5,10727712,3976920,1034.5,0.25,57044,60,1200996,4397832,149004,6624,791064,144915.4,8620,54.18
39301,2/5/2017,281,161448.1,28200.13,5.73,0.5,10727712,3976920,1034.5,0.25,57044,60,1200996,4397832,149004,6624,791064,144915.4,8620,54.18
40235,5/23/2017,281,161448.1,28200.13,5.73,0.5,10727712,3976920,1034.5,0.25,57044,60,1200996,4397832,149004,6624,791064,144915.4,8620,54.18
40616,9/13/2017,281,161448.3,28200.38,5.73,0.5,10727856,3976920,1034.5,0.25,57045,60,1200996,4397832,149004,6624,791064,144915.4,8620,54.18
40694,11/6/2017,253,4572.5,774,5.91,0.51,286452,333288,34.25,0.53,1313,3,136512,20520,73260,90648,340488,154.4,67.2,57.47
27979,9/6/2016,258,89622.4,15110.37,5.93,0.49,5739147,3892168,342.88,0.39,37913,35,986295,1823359,2391453,48880,1891269,80596.7,4547.9,56.22
28448,9/6/2016,258,89622.4,15110.37,5.93,0.49,5739156,3892176,342.88,0.39,37913,35,986292,1823364,2391444,48888,1891260,80596.7,4547.9,56.22
39344,2/12/2017,293,24732.9,4123.5,6,0.54,1576008,1864764,367.75,0.53,6523,17,2056176,1151352,58572,3096,0,22884.3,791.3,56.5
39478,3/10/2017,257,7166.5,1192.13,6.01,0.53,458136,136908,11.38,0.22,2096,1,341640,253332,13068,360,327276,6556.5,348,56.31
28277,1/12/2041,255,227957.3,37634,6.06,0.49,15136852,10543391,1096.63,0.39,82528,36,2870002,7919130,487517,23969,3755886,203329.6,13405.8,54.22
28442,1/12/2041,255,227957.3,37634,6.06,0.49,15136848,10543392,1096.63,0.39,82528,36,2869992,7919136,487512,23976,3755880,203329.6,13405.8,54.22
40273,5/30/2017,338,13709.4,2261.5,6.06,0.47,970164,492984,48.63,0.32,4953,3,1449108,426168,23832,216,13104,12332,673.6,50.87
39297,2/5/2017,261,23496.6,3842.63,6.11,0.47,1534212,1892916,159,0.54,8377,9,980424,632988,253440,5076,171144,16599.5,5652.1,55.13
40708,11/13/2017,280,3518.8,574.88,6.12,0.54,202608,40428,3.88,0.16,496,0,589896,132840,145980,3600,53820,3221.2,198.3,62.52
27929,6/12/2000,251,119702.2,19459.13,6.15,0.47,7906769,9115691,783.75,0.52,39857,56,1466402,3800165,141938,13290,3646195,9.4,107398.6,54.5
27933,8/22/2016,251,121696.8,19769.49,6.16,0.47,8044996,9274542,798,0.52,40573,56,1470416,3846209,143181,13298,3757118,9.4,109213.4,54.46
28439,8/22/2016,251,121696.8,19769.49,6.16,0.47,8044992,9274536,798,0.52,40573,56,1470420,3846204,143172,13284,3757104,9.4,109213.4,54.46
40709,11/16/2017,260,4061.1,659.75,6.16,0.52,244836,232704,17,0.48,854,0,310176,157752,6732,540,208872,3889.2,77,59.71
